model1,model1_mean,model1_se,model2,model2_mean,model2_se,p
Impervious Cover,0.09772636133876686,0.008178880142245703,Building Height,0.06478438734794435,0.006672744217038076,< 0.001
Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,Building Height,0.06478438734794435,0.006672744217038076,< 0.001
Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,Impervious Cover,0.09772636133876686,0.008178880142245703,0.005
NDVI,0.08946321403428145,0.007469422070670973,Building Height,0.06478438734794435,0.006672744217038076,0.003
NDVI,0.08946321403428145,0.007469422070670973,Impervious Cover,0.09772636133876686,0.008178880142245703,0.635
NDVI,0.08946321403428145,0.007469422070670973,Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,< 0.001
"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,Building Height,0.06478438734794435,0.006672744217038076,< 0.001
"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,Impervious Cover,0.09772636133876686,0.008178880142245703,0.024
"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,0.561
"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,NDVI,0.08946321403428145,0.007469422070670973,0.007
"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,Building Height,0.06478438734794435,0.006672744217038076,< 0.001
"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,Impervious Cover,0.09772636133876686,0.008178880142245703,< 0.001
"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,< 0.001
"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,NDVI,0.08946321403428145,0.007469422070670973,< 0.001
"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,Building Height,0.06478438734794435,0.006672744217038076,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,Impervious Cover,0.09772636133876686,0.008178880142245703,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,Impervious Cover and Building Height,0.1247516781888068,0.009386058668336647,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,NDVI,0.08946321403428145,0.007469422070670973,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,"NDVI and Building
Height",0.12105761189731308,0.009622964893493114,< 0.001
"NDVI, Impervious Cover,
and Building Height",0.31959772547684046,0.01664907121133119,"NDVI and Impervious
Cover",0.182619021716047,0.01142012998883915,< 0.001
