total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city
9845,9809,0.9963433214829863,0.001418037456460297,1.1562869787216186,3.2658543166328515,5.6725636482238775,7.702367153167725,18.92375373840332,"Abbeville, LA_buildings"
2792,2324,0.832378223495702,2.502525806427002,2.893624484539032,4.684224506868963,7.355318117141723,9.93633883476257,16.424604415893555,"Abbeville, SC_buildings"
13463,10144,0.7534724801307287,2.500253438949585,2.666487431526184,3.9707441295406043,6.1745105504989635,9.313058767318719,28.042341232299805,"Aberdeen, SD_buildings"
9893,9887,0.9993935105630244,0.0016064257360994816,2.064716672897339,4.043361593384464,5.952347707748413,7.693369560241687,26.986486434936523,"Aberdeen, WA_buildings"
4089,3511,0.8586451455123502,2.500092029571533,2.8161243200302124,4.59904857124572,6.876334190368652,8.86991767883301,26.485816955566406,"Abilene, KS_buildings"
49463,32141,0.6497988395366233,2.5001468658447266,3.0727522373199463,4.041423405163661,5.652034282684326,7.395504474639887,27.136802673339844,"Abilene, TX_buildings"
8885,8854,0.9965109735509285,0.0024903391022235155,1.8786285281181336,4.202667305204709,6.458254480361939,8.203564786911008,23.358699798583984,"Ada, OK_buildings"
2329,1937,0.8316874194933448,2.505486249923706,2.794958066940308,4.591599070539656,6.571401977539061,8.55382629394529,16.1468563079834,"Adairsville, GA_buildings"
3468,3443,0.9927912341407151,0.0019071836723014712,1.1520787715911864,3.6063086292856217,6.678849172592156,9.974687080383287,19.131391525268555,"Adel, GA_buildings"
2593,2265,0.8735055919784034,2.073828218271956e-4,0.08816389739513397,3.6388747840313274,6.27188730239868,8.330508842468273,15.972662925720217,"Adel, IA_buildings"
11775,10185,0.8649681528662421,2.50193190574646,2.752624177932739,4.307833329660961,6.359695148468017,8.09076839447021,24.214027404785156,"Adrian, MI_buildings"
2471,1886,0.7632537434237151,3,3.144394338130951,4.513935947721609,6.910248517990112,9.600313758850113,13.816810607910156,"Ahoskie, NC_buildings"
249104,218925,0.8788497976748667,2.5000433921813965,2.9041606903076174,4.778867288632822,7.492936706542968,10.260687828063965,35.29393768310547,"Akron, OH_buildings"
13321,13164,0.9882140980406876,2.032107295235619e-4,1,3.410252055311364,5.239934468269347,5.945664434432981,23.0904598236084,"Alamogordo, NM_buildings"
4660,3173,0.6809012875536481,3.0015485286712646,3.1101567268371584,4.017026634649114,5.425281810760497,6.405641288757321,10.017274856567385,"Alamosa, CO_buildings"
193830,157245,0.8112521281535366,2.5000417232513428,2.8096068382263186,4.597528572175616,7.252353668212889,10.627929687499996,29.310951232910156,"Albany--Schenectady, NY_buildings"
30310,30242,0.9977565160013196,4.1526513086864725e-5,1.68479585647583,3.905532404696393,6.926514720916746,10.038244915008544,27.721609115600582,"Albany, GA_buildings"
25067,24696,0.9851996648980732,1.353912812191993e-4,1.448745608329773,3.749335829109583,5.662659525871277,6.466337060928343,17.526947021484375,"Albany, OR_buildings"
8632,5680,0.6580166821130676,2.5268752574920654,3.0979627132415772,4.628658579520776,8.131250000000001,11.833696012496949,24.19002914428711,"Albemarle, NC_buildings"
8871,7981,0.899673092097847,2.5008859634399414,2.8694186210632324,4.7734434320251236,7.546530246734619,9.859069824218748,19.298547744750977,"Albert Lea, MN_buildings"
18072,14635,0.8098162903939796,2.5000336170196533,2.729506731033325,4.331355918549335,7.100034904479978,10.59515930175781,23.52860450744629,"Albertville, AL_buildings"
3712,3705,0.998114224137931,0.004040404222905636,1.4720746278762817,3.6367865358178935,5.985106468200683,8.327035636901863,15.298701286315918,"Albion, MI_buildings"
2374,1909,0.8041280539174389,3,3.226535940170288,4.762580733826299,7.486183547973631,10.029370269775399,14.2574462890625,"Albion, NY_buildings"
300979,230661,0.7663690822283282,2.5000200271606445,2.771610975265503,4.189507624436315,5.96287202835083,8.36949977874755,58.02487564086914,"Albuquerque, NM_buildings"
4206,3580,0.8511650023775559,2.5017337799072266,2.749245691299439,4.751191037393815,8.438551568984984,11.86059126853943,19.635507583618164,"Alexander City, AL_buildings"
3778,3018,0.7988353626257279,2.502450942993164,2.6912456393241886,3.9064677135291834,5.666905951499939,6.950583209991449,22.234607696533203,"Alexandria, IN_buildings"
35463,35363,0.9971801596029665,5.264081410132349e-4,1.603615653514862,4.169374245462796,7.0119714736938485,9.842316150665278,22.706382751464844,"Alexandria, LA_buildings"
10086,9120,0.9042236763831053,2.5012006759643555,3.0251633763313293,4.8288637169620445,6.9318369865417475,8.586166954040525,26.631576538085938,"Alexandria, MN_buildings"
3489,2707,0.7758670106047578,2.5036892890930176,2.8343262434005734,4.589927963370276,7.048756647109983,9.214437007904058,16.309293746948242,"Algona, IA_buildings"
8687,6320,0.7275238862668355,0.4366428256034851,2.7411467313766478,4.033949271952616,5.831862521171568,7.200271487235986,15.16531753540039,"Alice, TX_buildings"
3398,3379,0.994408475573867,0.00483516464009881,1.246759629249573,3.9841076286754107,7.725598287582397,11.417576255798291,21.770801544189453,"Allegan, MI_buildings"
4775,4555,0.9539267015706806,2.7419798425398767e-4,0.8565931200981141,3.842828748906068,6.402273893356325,8.674112014770508,26.1414794921875,"Allendale, MI_buildings"
198672,157553,0.7930307240074091,3,3.189920949935913,4.710068106146634,6.745755672454834,9.326306800842286,28.329151153564453,"Allentown--Bethlehem, PA--NJ_buildings"
5142,4055,0.7886036561649163,2.5020229816436768,2.7002341747283936,4.039998939328364,5.712883615493773,7.484422941207885,24.21829605102539,"Alliance, NE_buildings"
16875,12567,0.7447111111111111,2.500188112258911,2.6692817449569706,4.062629550417957,6.340934085845939,9.152339897155763,18.78224754333496,"Alliance, OH_buildings"
5664,4768,0.8418079096045198,3,3.242757868766785,4.824855651781463,7.60542538166046,10.621286668777465,21.013595581054688,"Alma--St. Louis, MI_buildings"
8372,5791,0.6917104634495939,2.502662181854248,3.0294013023376465,4.239191932600822,6.134758472442627,8.286624526977548,17.842426300048828,"Alpena, MI_buildings"
5641,5091,0.9024995568161673,2.502190351486206,2.8790664672851563,4.451089905465523,6.014103651046753,6.823972034454348,9.95777416229248,"Alpine, CA_buildings"
3410,1616,0.47390029325513194,3,3.0892802476882935,3.9065664298463574,5.229442477226257,6.383656883239742,10.20044231414795,"Alpine, TX_buildings"
2369,1650,0.6964964119881807,2.517873525619507,2.8140342593193055,4.528316391309103,7.703177690505979,11.790933589935301,26.37381362915039,"Altavista, VA_buildings"
41752,41560,0.9954014178961487,3.4861426684074104e-4,1.868117541074753,4.0534558862889005,6.717929601669306,9.480992879867536,24.775070190429688,"Alton, IL_buildings"
35107,22999,0.655111516221836,3,3.129468321800232,4.489638974238564,6.692406702041625,9.36079616546631,25.4105224609375,"Altoona, PA_buildings"
10230,8339,0.8151515151515152,2.5001518726348877,2.795751881599426,4.11494290670026,5.441819143295287,7.1752050685882836,19.322410583496097,"Altus, OK_buildings"
3519,2707,0.769252628587667,2.501569986343384,2.686704707145691,3.878500107781756,5.475115394592283,7.651088209152223,32.83714294433594,"Alva, OK_buildings"
1697,1639,0.9658220388921627,2.1853146608918905e-4,0.4662017673254013,3.461195044164731,5.467400121688843,6.571081104278564,23.99209976196289,"Alvarado, TX_buildings"
89816,88915,0.9899683797986996,2.106815518345684e-4,1,3.7261112428640293,5.611222982406617,7.005504436492921,30.79305076599121,"Amarillo, TX_buildings"
7043,7034,0.998722135453642,0.02964959479868412,1.8591612219810485,4.217639231207238,7.636918067932128,10.863990278244021,26.447975158691406,"Americus, GA_buildings"
14129,13389,0.9476254511996602,1.6770082584116608e-4,2.3634544849395756,4.804491981796576,7.473560428619383,9.706381988525386,27.76028823852539,"Ames, IA_buildings"
26051,19708,0.7565160646424322,2.5001220703125,2.9817730307579042,4.794416546700619,7.428554010391234,10.4467915058136,29.72842788696289,"Amherst Town--Northampton--Easthampton Town, MA_buildings"
3771,3156,0.8369132856006364,2.5028436183929443,2.7000301480293274,4.190436189996577,6.71301543712616,10.196278142929039,22.564302444458008,"Amory, MS_buildings"
9610,7375,0.7674297606659729,2.502599000930786,2.7665691852569583,4.567259541269076,6.985241317749024,9.25328506469727,17.954530715942383,"Amsterdam, NY_buildings"
4080,3035,0.7438725490196079,3,3.1743500232696533,4.121213249869559,5.423146867752074,6.465707063674925,11.577338218688965,"Anaconda-Deer Lodge County, MT_buildings"
9770,9762,0.9991811668372569,0.003000750206410885,2.3936761021614075,4.559091698568653,6.37685523033142,7.861468076705932,24.35645294189453,"Anacortes, WA_buildings"
