NAME20,total_buildings,buildings_w_height_measurement,mean_height,median_height,sd_height,min_height,max_height
"Abbeville, LA",9845,9809,3.2658543166328515,3.1485800743103027,1.4264264719734605,0.001418037456460297,18.92375373840332
"Aberdeen, SD",13463,10144,3.9707441295406043,3.663175106048584,1.4100967383809508,2.500253438949585,28.042341232299805
"Aberdeen, WA",19786,19774,4.043361593384464,3.983926773071289,1.3197584757306537,0.0016064257360994816,26.986486434936523
"Abilene, KS",4089,3511,4.59904857124572,4.417766571044922,1.4486404494757708,2.500092029571533,26.485816955566406
"Abilene, TX",49463,32141,4.041423405163661,3.7937750816345215,1.0198477971968771,2.5001468658447266,27.136802673339844
"Ada, OH",1724,0,NA,NA,NA,Inf,-Inf
"Ada, OK",8885,8854,4.202667305204709,4.10590124130249,1.4447931343146496,0.0024903391022235155,23.358699798583984
"Adrian, MI",11775,10185,4.307833329660961,4.151721954345703,1.2283299449969711,2.50193190574646,24.214027404785156
"Akron, OH",6725,5585,4.223668438041434,4.039724349975586,1.2055058992107857,2.500584125518799,18.31905937194824
"Alamogordo, NM",13321,13164,3.410252055311364,3.572081685066223,1.2730731307036771,2.032107295235619e-4,23.0904598236084
"Alamosa, CO",4660,3173,4.017026634649114,3.847499132156372,0.7657321462655833,3.0015485286712646,10.017274856567385
"Albany, OR",25067,24696,3.749335829109583,3.7201908826828003,1.2615723805953538,1.353912812191993e-4,17.526947021484375
"Albany--Schenectady, NY",193830,157245,4.597528572175616,4.318218231201172,1.5965896243280124,2.5000417232513428,29.310951232910156
"Albion, MI",3712,3705,3.6367865358178935,3.526503324508667,1.4694554408326796,0.004040404222905636,15.298701286315918
"Albion, NY",2374,1909,4.762580733826299,4.448396682739258,1.3923406850256514,3,14.2574462890625
"Alexandria, IN",3778,3018,3.9064677135291834,3.744148015975952,1.0039820071934684,2.502450942993164,22.234607696533203
"Alexandria, LA",35463,35363,4.169374245462796,4.017637252807617,1.694901774600921,5.264081410132349e-4,22.706382751464844
"Alexandria, MN",10086,9120,4.8288637169620445,4.710600852966309,1.318769298427092,2.5012006759643555,26.631576538085938
"Algona, IA",1659,1432,4.640710600261582,4.479241609573364,1.3165430301811,2.5036892890930176,11.858465194702148
"Alice, TX",8687,6320,4.033949271952616,3.8653182983398438,0.9947382457291226,0.4366428256034851,15.16531753540039
"Allegan, MI",3398,3379,3.9841076286754107,3.6886157989501953,2.0679520706005565,0.00483516464009881,21.770801544189453
"Allendale, MI",4775,4555,3.842828748906068,3.857999563217163,1.728341942019481,2.7419798425398767e-4,26.1414794921875
"Alliance, NE",5142,4055,4.039998939328364,3.868816137313843,1.209892920096387,2.5020229816436768,24.21829605102539
"Alma--St. Louis, MI",5664,4768,4.824855651781463,4.4858903884887695,1.5156887365432363,3,21.013595581054688
"Alpena, MI",8372,5791,4.239191932600822,4.0247802734375,1.1431795319759543,2.502662181854248,17.842426300048828
"Alpine, TX",3410,1616,3.9065664298463574,3.7477763891220093,0.7542408358758221,3,10.20044231414795
"Altavista, VA",2369,1650,4.528316391309103,4.037621974945068,1.8388610454159267,2.517873525619507,26.37381362915039
"Alton, IL",41445,41275,4.049884873834453,3.838688373565674,1.6341019231120688,3.4861426684074104e-4,24.775070190429688
"Altus, OK",10230,8339,4.11494290670026,4.014812469482422,1.0581783941698961,2.5001518726348877,19.322410583496097
"Alva, OK",3519,2707,3.878500107781756,3.633288145065307,1.5068988052203485,2.501569986343384,32.83714294433594
"Alvarado, TX",1697,1639,3.461195044164731,3.648610830307007,1.5792888096900182,2.1853146608918905e-4,23.99209976196289
"Ames, IA",7246,6673,4.919548575852776,4.893179416656494,1.2824288274115767,2.505383014678955,23.76273536682129
"Amherst Town--Northampton--Easthampton Town, MA",26051,19708,4.794416546700619,4.5564515590667725,1.5478891861583157,2.5001220703125,29.72842788696289
"Amsterdam, NY",9610,7375,4.567259541269076,4.3449225425720215,1.4410693692758345,2.502599000930786,17.954530715942383
"Anaconda-Deer Lodge County, MT",4080,3035,4.121213249869559,3.982800960540771,0.763222557558874,3,11.577338218688965
"Anacortes, WA",9770,9762,4.559091698568653,4.591997861862183,1.3449070636312068,0.003000750206410885,24.35645294189453
"Anadarko, OK",2815,2235,3.6589611586841695,3.389731168746948,1.5891398467379927,2.5003154277801514,32.112693786621094
"Anamosa, IA",2479,1981,4.11998238447999,3.96516752243042,1.1073329634364788,2.501380205154419,12.207411766052246
"Anchorage Northeast, AK",8526,7516,4.9762803273926774,4.95118522644043,1.087048401378873,3,14.490076065063477
"Anchorage, AK",117091,98982,5.06184188482007,4.907095432281494,1.56162637524211,3,29.82404327392578
"Anderson, IN",41252,33938,4.070723169630717,3.842887282371521,1.1750680774029925,2.5,25.378952026367188
"Andrews, TX",7475,3736,3.933194185924224,3.7001821994781494,0.8211554094372219,3.000379800796509,13.124743461608888
