NAME20,INTPTLAT20,INTPTLON20,Area
"Wynne, AR","+35.2314621","-090.7860393",14132930.234999999403954
"Excelsior Springs, MO","+39.3460370","-094.2381173",14764222.278000000864267
"Trenton, MO","+40.0830469","-093.6000303",11852417.663000000640750
"Lake Mohawk, NJ","+41.0168287","-074.6539150",24572626.603000003844500
"Oak Ridge, NJ","+41.0177417","-074.5124431",15122525.675000000745058
"Ipswich, MA","+42.6828813","-070.8370928",16199186.189999997615814
"Spencer, MA","+42.2544606","-071.9964124",14808523.335999999195337
"New Carlisle, OH","+39.9423223","-084.0298742",3953253.560000000521541
"Dexter, MI","+42.3354798","-083.8887700",6463689.824000000022352
"Tonganoxie, KS","+39.1125590","-095.0813679",7024002.010999999940395
"South Lyon--Hamburg--Genoa, MI","+42.5198590","-083.8037363",335425905.648000001907349
"Frankenmuth, MI","+43.3327532","-083.7375707",7670398.502000000327826
"Columbia City, IN","+41.1582911","-085.4775192",15640909.013000000268221
"Galliano--Larose--Cut Off, LA","+29.4894739","-090.3307236",49376632.670999996364117
"Lapeer, MI","+43.0493201","-083.3233954",23472159.772999998182058
"Owosso, MI","+42.9970216","-084.1637859",35727999.364000000059605
"Springfield, VT","+43.3099219","-072.5005209",11556491.223999999463558
"Carbondale, IL","+37.7432579","-089.2563344",57396454.423000000417233
"Childress, TX","+34.4267355","-100.2129087",8381545.334999999962747
"Lebanon, MO","+37.6695495","-092.6608514",32270067.817999999970198
"Ripon, WI","+43.8445776","-088.8380965",11245562.873999999836087
"Ironwood, MI--WI","+46.4527878","-090.1752112",15775309.263000000268221
"Tama, IA","+41.9916175","-092.5856888",7428842.950000000186265
"Boone, IA","+42.0560760","-093.8754843",19709868.703999999910593
"Columbia, MO","+38.9433029","-092.3295218",174755360.659999996423721
"East Palestine, OH","+40.8416130","-080.5397242",7528276.884999999776483
"Stillwater, OK","+36.1314960","-097.0744638",66132717.642999999225140
"Cleveland, MS","+33.7422657","-090.7252484",21322852.723000001162291
"Elmira, NY","+42.0864045","-076.8251795",83278254.689999997615814
"Columbus, IN","+39.2390255","-085.9228840",72997423.283999994397163
"Crowley, LA","+30.2138037","-092.3766950",18367076.144000001251698
"Rayne, LA","+30.2377819","-092.2622971",12315536.421000000089407
"Caro, MI","+43.4954669","-083.3901959",11767018.675000000745058
"Wabash, IN","+40.7992101","-085.8286671",15568474.006999999284744
"Muscatine, IA","+41.4201290","-091.0698399",41642084.951999999582767
"Lebanon, IN","+40.0503473","-086.4741941",21653538.464999999850988
"Kokomo, IN","+40.4671077","-086.1382527",84173242.599999994039536
"Crawfordsville, IN","+40.0411434","-086.9036428",25383709.022999998182058
"St. Joseph, MO--KS","+39.7613104","-094.8347327",115984309.203999996185303
"Winnsboro, LA","+32.1613937","-091.7206051",8358324.571999999694526
"Monroe, LA","+32.5215159","-092.1165990",241306473.020999997854233
"Eunice, LA","+30.4933728","-092.4180979",18551828.706000000238419
"St. Martinville, LA","+30.1347993","-091.8282394",10804203.881999999284744
"Indianola, MS","+33.4461928","-090.6485836",13469709.982999999076128
"Jennings, LA","+30.2301665","-092.6538037",19981318.050999999046326
"Conneaut, OH","+41.9389558","-080.5873268",21483491.254999995231628
"Laconia, NH","+43.5422360","-071.4436127",81072888.319999992847443
"Kennett, MO","+36.2402228","-090.0472205",16633264.907999999821186
"Aurora, MO","+36.9656449","-093.7204073",13711415.571000000461936
"Waupun, WI","+43.6291066","-088.7362462",11544108.623999999836087
"Boyne City, MI","+45.2060225","-085.0007723",13941046.206000000238419
"Antigo, WI","+45.1426391","-089.1531968",12675645.341000000014901
"Crookston, MN","+47.7764084","-096.6066220",12039715.317999999970198
"Rice Lake, WI","+45.4953247","-091.7364561",21527058.690999999642372
"Massena, NY","+44.9337488","-074.8861138",16832282.736000001430511
"Warrensburg, MO","+38.7644246","-093.7302318",22001235.929999999701977
"Salem, MO","+37.6393310","-091.5360225",8161230.639999999664724
"Altus, OK","+34.6570606","-099.3090458",41085849.329999998211861
"Clarksdale, MS","+34.2002919","-090.5737996",19220432.006000000983477
"Anderson, IN","+40.0862465","-085.6762230",135515898.138000011444092
"Great Bend, KS","+38.3659012","-098.7789574",16432851.199999999254942
"Atchison, KS","+39.5657982","-095.1328395",14062905.610999999567866
"Blytheville, AR","+35.9318930","-089.9174585",37636439.021999999880791
"Cushing, OK","+35.9610024","-096.7571943",24147183.116000004112720
"Berlin, WI","+43.9706391","-088.9473678",8980985.062000000849366
"Cadillac, MI","+44.2511753","-085.4199526",33172162.807000000029802
"Waterville, ME","+44.5514214","-069.6541625",47049680.788999997079372
"Dansville, NY","+42.5639462","-077.7031753",8275503.935999999754131
"Stephenville, TX","+32.2190189","-098.2189288",24232491.405999999493361
"Napoleon, OH","+41.3950945","-084.1260902",16698571.836999999359250
"Sikeston, MO","+36.8853828","-089.5707144",34089457.214000001549721
"Jonesboro, AR","+35.8229036","-090.6864275",120781677.399000018835068
"Plymouth, NH","+43.7589951","-071.6894381",15751850.021999999880791
"Little Falls, MN","+45.9798003","-094.3591475",20309502.835000000894070
"Ste. Genevieve, MO","+37.9702572","-090.0508495",8131028.713999999687076
"Marshall, MO","+39.1138755","-093.1990586",17836529.921000000089407
"Dexter, MO","+36.7926878","-089.9737916",20300573.659000001847744
"Hope, AR","+33.6654626","-093.5916940",20539550.146000001579523
"Grand Forks, ND--MN","+47.9146159","-097.0665665",68832364.978000000119209
"Manteo, NC","+35.9241693","-075.7032303",13813973.670999998226762
"Eldon, MO","+38.3502379","-092.5768704",8645179.330000000074506
"Sedalia, MO","+38.6992307","-093.2433552",44327036.420000001788139
"Duncan, OK","+34.5096085","-097.9626314",35417820.862999998033047
"Terrell, TX","+32.7356473","-096.2949701",31875718.635999999940395
"Tallulah, LA","+32.4066798","-091.1876137",9703650.956999998539686
"New Roads, LA","+30.6855350","-091.4577890",31320097.274000000208616
"Beatrice, NE","+40.2742977","-096.7445517",22678467.767999999225140
"Opelousas, LA","+30.5314189","-092.0826418",48209313.627999998629093
"Mandeville--Covington, LA","+30.4336769","-090.1070663",222868986.592999994754791
"Camden, ME","+44.2080872","-069.0765021",10839787.778000000864267
"Winnfield, LA","+31.9260801","-092.6417210",11536283.291999999433756
"Charlestown, IN","+38.4452530","-085.6655760",10465548.835999999195337
"Millinocket, ME","+45.6528251","-068.6985532",8673033.213999999687076
