"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","weight_normalized"
"Akron, OH","Model6",57570.4508107638,0.256869469516362,0.210320567051063,-0.724243540083606,0.0430074264916734,9.13220605280818e-63,NA,NA,NA,0.571218677703582
"Albany, OR","Model2",6305.75029744912,0.505854840958727,0.43531437986507,-1.30516316588332,0.226652028727325,1.09117110125767e-08,0.19431593320193,0.0613072649895537,0.00156749162333035,0.607887642875325
"Albany--Schenectady, NY","Model5",96336.1536725262,0.331602784674874,0.247815163396038,NA,NA,NA,-0.042244543997167,0.00569399268702208,1.23574581931941e-13,0.744018717962907
"Alexandria, MN","Model6",2038.61627767249,0.425900537819946,0.469593914351584,-38.945576979967,21.6086763991814,0.0723806110362434,NA,NA,NA,0.390384900077948
"Alton, IL","Model7",10145.2775263082,0.60223985474482,0.50888183250819,0.274221339373009,0.325450404712028,0.399586528240889,-0.0495523317175672,0.0662489431667732,0.454589752500865,0.17011853052263
"Ames, IA","Model1",6320.6930681793,0.283321585613837,0.245478123456167,0.210267757489199,0.248283666551474,0.397243969826859,NA,NA,NA,0.31025777939427
"Anacortes, WA","Model7",6081.76319761547,0.363519767536479,0.350317009435972,-1.16718326203163,0.193201666833371,2.12168712322866e-09,-0.129323944833185,0.0561865773555954,0.0215482564475481,0.633770613013069
"Anderson, IN","Model7",13201.2369277979,0.693788749135301,0.637881453859654,-1.27729574545755,0.152359492694613,8.19939920089279e-17,-0.287392542248188,0.0494447482582544,6.88865003928753e-09,0.996987534496718
"Ann Arbor, MI","Model7",78659.2205908175,0.197483102773714,0.162099675658592,-0.543450796993097,0.0356585729561222,5.07883257428351e-52,-0.0484867293310015,0.00462502226044068,1.28431738094361e-25,0.876867769328918
"Aransas Pass--Port Aransas--Ingleside, TX","Model6",11475.4774460406,0.201771132733515,0.188477149844206,-0.323074113652568,0.182917895641171,0.0775091642636911,NA,NA,NA,0.296015648038589
"Arcata, CA","Model2",7960.54298183293,0.579790535449924,0.496206560839882,0.802211418344639,0.17295997583184,3.85661702847912e-06,0.0963351707772128,0.0490719541507177,0.0498347809885191,0.445931394066797
"Aspen, CO","Model4",7945.56100829522,0.242312712090158,0.190020558047059,NA,NA,NA,NA,NA,NA,0.476011089253952
"Astoria, OR","Model6",4808.77098330183,0.390531348012031,0.396491421997107,-0.914737703347223,0.331064080944182,0.0058534059093815,NA,NA,NA,0.464165584681387
"Athens, OH","Model7",11813.1845419728,0.335278569832871,0.278275792591008,-0.498180551777021,0.16723795135604,0.00292925544723719,0.117651809803807,0.0407183208146525,0.00390282850709276,0.854320876251805
"Augusta, ME","Model2",7331.23026853718,0.282220891879175,0.267657284105695,0.809609720945639,0.170387438693773,2.23176628513574e-06,-0.0661496696450914,0.0279728126500242,0.0181799826779368,0.362252006233145
"Bandon, OR","Model4",1961.35996806971,0.145251807944501,0.180888860774162,NA,NA,NA,NA,NA,NA,0.365600947086719
"Bangor, ME","Model7",20544.012676721,0.242710946835036,0.248719183800804,-5.47513776486383,0.757946837758612,6.05158337942596e-13,-0.0459640171364271,0.0126193006264651,0.000273645646085829,0.780813857211517
"Barre--Montpelier, VT","Model2",15411.1604378816,0.285863349808077,0.287523631883158,2.47340901306152,0.58317748625909,2.29920712282428e-05,-0.251785078789264,0.0430106979559892,5.39269381203369e-09,0.574236230084152
"Baton Rouge, LA","Model7",60608.8994079138,0.444581350963616,0.352082733630542,-0.1538445073131,0.046610975535997,0.000968173197313789,-0.0313763011282214,0.00895151563108606,0.00045838966660617,0.941114762768533
"Battle Creek, MI","Model3",12800.3052919362,0.296524805464473,0.279190244392108,NA,NA,NA,-0.0658012431625481,0.0193768914289126,0.000696779449213057,0.318951881903168
"Bayside Gardens--Manzanita, OR","Model3",4284.9888624644,0.365818701531481,0.332477138428183,NA,NA,NA,-0.01540507138513,0.173096586096858,0.929109880805722,0.492018081321719
"Belfast, ME","Model3",2533.50349707562,0.161138335931691,0.155006102077156,NA,NA,NA,-0.226655421161889,0.0817253102983479,0.00576976799083069,0.427372646115952
"Bellingham, WA","Model7",34588.2759960105,0.398519318643149,0.323602081857306,-0.206149615072297,0.0869109109428104,0.0177215129113226,0.031381106175191,0.0161924269152483,0.052663269645147,0.53740640391185
"Bemidji, MN","Model4",1552.30678986304,0.157415690619273,0.16363720005046,NA,NA,NA,NA,NA,NA,0.388477980100332
"Bend, OR","Model6",17756.5160942152,0.244479023565361,0.22340523129898,-0.6733703412867,0.140387990403919,1.68604298247252e-06,NA,NA,NA,0.705225775675244
