"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"Akron, OH","Model1",57617.2870705727,0.252658729763465,0.206714874047753,-0.722044325928503,0.0432580315827896,1.03540400201808e-61,NA,NA,NA,NA,NA,NA,6.75515636030567e-11,3.85867148381475e-11
"Akron, OH","Model2",57618.5102363515,0.252366419285848,0.206761739084805,-0.721779860434417,0.0432514516892729,1.09770187783811e-61,-0.0110348178681345,0.00731077355244862,0.131230526349919,NA,NA,NA,3.66461480582148e-11,2.09329642367431e-11
"Akron, OH","Model3",57821.4646499978,0.224085828778059,0.191350950414236,NA,NA,NA,-0.0120580044397394,0.00743615605271024,0.104934093652088,NA,NA,NA,3.11198410195084e-55,1.77762344375093e-55
"Akron, OH","Model4",57774.3581144309,0.227647672227441,0.194920243337775,NA,NA,NA,NA,NA,NA,0.601486246441014,0.0746608729896647,8.76860816588193e-16,5.27341073324102e-45,3.01227070602981e-45
"Akron, OH","Model5",57775.4376805753,0.227966999543897,0.194990842794579,NA,NA,NA,0.00716818341550786,0.00779175047532675,0.357610256464039,0.622867508737546,0.0785214064040573,2.37940418658707e-15,3.07373759573325e-45,1.75577632504253e-45
"Akron, OH","Model6",57570.4508107638,0.256869469516362,0.210320567051063,-0.724243540083606,0.0430074264916734,9.13220605280818e-63,NA,NA,NA,0.608146712995048,0.073388976736142,1.3151904622149e-16,1,0.571218677703582
"Akron, OH","Model7",57571.0244608817,0.257108574884284,0.210430628658461,-0.724389554837371,0.0430457956228626,1.10546400112762e-62,0.00825300646141652,0.0076582733985285,0.281212098350018,0.632272906028283,0.077232211805637,3.01499776979562e-16,0.75064303562462,0.428781322236898
"Albany--Schenectady, NY","Model1",96514.8974176803,0.322490032128962,0.240056043650008,-0.0285012953492743,0.0317670241069127,0.369626537017206,NA,NA,NA,NA,NA,NA,1.53563818405674e-39,1.14254355295678e-39
"Albany--Schenectady, NY","Model2",96425.424102382,0.326286015684881,0.243990590287362,-0.0262465071170097,0.0316354045572938,0.406745165319756,-0.0603625315511969,0.00543483261908148,1.46888549427737e-28,NA,NA,NA,4.12261195441319e-20,3.06730046098105e-20
"Albany--Schenectady, NY","Model3",96423.412574597,0.326536216990094,0.243993521178037,NA,NA,NA,-0.0603840906824507,0.00543696349153786,1.47520715908423e-28,NA,NA,NA,1.12712002788529e-19,8.38598398137529e-20
"Albany--Schenectady, NY","Model4",96374.3169451663,0.330716939250838,0.246101366266969,NA,NA,NA,NA,NA,NA,0.890502184271404,0.0672995356596016,9.12583428372395e-40,5.16357679621581e-09,3.8417977880235e-09
"Albany--Schenectady, NY","Model5",96336.1536725262,0.331602784674874,0.247815163396038,NA,NA,NA,-0.042244543997167,0.00569399268702208,1.23574581931941e-13,0.738443767083446,0.070675749480243,1.78882873681509e-25,1,0.744018717962907
