NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Siler City, NC",+35.7256038,-079.4581718,13414006.11,,,,,,,,,,,,,,,,,,,,,,
"Spout Springs, NC",+35.2736166,-079.0456222,34074679.03,,,,,,,,,,,,,,,,,,,,,,
"Sanford, NC",+35.4629852,-079.1661269,91102042.41,,,,,,,,,,,,,,,,,,,,,,
"Laurinburg, NC",+34.7621385,-079.4773780,34430237.28,,,,,,,,,,,,,,,,,,,,,,
"Wynne, AR",+35.2314621,-090.7860393,14132930.24,,,,,,,,,,,,,,,,,,,,,,
"Kosciusko, MS",+33.0586335,-089.5845625,14490519.22,,,,,,,,,,,,,,,,,,,,,,
"Excelsior Springs, MO",+39.3460370,-094.2381173,14764222.28,,,,,,,,,,,,,,,,,,,,,,
"Kearney, MO",+39.3623021,-094.3648340,14541160.61,,,,,,,,,,,,,,,,,,,,,,
"Trenton, MO",+40.0830469,-093.6000303,11852417.66,,,,,,,,,,,,,,,,,,,,,,
"Lake Mohawk, NJ",+41.0168287,-074.6539150,24572626.6,,,,,,,,,,,,,,,,,,,,,,
"Oak Ridge, NJ",+41.0177417,-074.5124431,15122525.68,,,,,,,,,,,,,,,,,,,,,,
"Oxford, PA",+39.7734345,-075.9992925,17077857.31,,,,,,,,,,,,,,,,,,,,,,
"Kiryas Joel, NY",+41.3349250,-074.1704965,76610284.63,,,,,,,,,,,,,,,,,,,,,,
"Hampstead--Manchester, MD",+39.6273443,-076.8600883,20446153,,,,,,,,,,,,,,,,,,,,,,
"Ipswich, MA",+42.6828813,-070.8370928,16199186.19,,,,,,,,,,,,,,,,,,,,,,
"Lehighton--Palmerton--Jim Thorpe, PA",+40.8294434,-075.6899000,26056514.07,,,,,,,,,,,,,,,,,,,,,,
"West Milford, NJ--NY",+41.1793106,-074.3358638,45592220.46,,,,,,,,,,,,,,,,,,,,,,
"Raymond, NH",+43.0337936,-071.1678189,16232971.91,,,,,,,,,,,,,,,,,,,,,,
"Spencer, MA",+42.2544606,-071.9964124,14808523.34,,,,,,,,,,,,,,,,,,,,,,
"Suffolk, VA",+36.7494068,-076.5769122,63435315.13,,,,,,,,,,,,,,,,,,,,,,
"Pea Ridge, AR",+36.4528464,-094.1259421,10050533.25,,,,,,,,,,,,,,,,,,,,,,
"Greendale--Lawrenceburg--Hidden Valley, IN--OH",+39.1240228,-084.8611015,49805384.43,,,,,,,,,,,,,,,,,,,,,,
"New Carlisle, OH",+39.9423223,-084.0298742,3953253.56,,,,,,,,,,,,,,,,,,,,,,
"Crestline, OH",+40.7849322,-082.7405784,8252764.023,,,,,,,,,,,,,,,,,,,,,,
"Dexter, MI",+42.3354798,-083.8887700,6463689.824,,,,,,,,,,,,,,,,,,,,,,
"Live Oak, FL",+30.2925246,-082.9884449,13729446.22,,,,,,,,,,,,,,,,,,,,,,
"St. Augustine, FL",+29.8834330,-081.3282625,158649827.8,,,,,,,,,,,,,,,,,,,,,,
"Nashville, GA",+31.2060314,-083.2446024,10282415.23,,,,,,,,,,,,,,,,,,,,,,
"Douglas, GA",+31.5077961,-082.8579738,43515805.83,,,,,,,,,,,,,,,,,,,,,,
"Waycross, GA",+31.2226645,-082.3677371,65069524.64,,,,,,,,,,,,,,,,,,,,,,
"Macclenny, FL",+30.2804975,-082.1355299,21906753.81,,,,,,,,,,,,,,,,,,,,,,
"Adel, GA",+31.1446491,-083.4275773,15999383.15,,,,,,,,,,,,,,,,,,,,,,
"Tullahoma, TN",+35.3697423,-086.2140939,38296293.95,,,,,,,,,,,,,,,,,,,,,,
"East Tawas, MI",+44.2739207,-083.5086350,12962376.07,,,,,,,,,,,,,,,,,,,,,,
"Cheboygan, MI",+45.6502895,-084.4860321,15806741.12,,,,,,,,,,,,,,,,,,,,,,
"Tonganoxie, KS",+39.1125590,-095.0813679,7024002.011,,,,,,,,,,,,,,,,,,,,,,
"Alpena, MI",+45.0495900,-083.4535730,34907912.67,,,,,,,,,,,,,,,,,,,,,,
"South Lyon--Hamburg--Genoa, MI",+42.5198590,-083.8037363,335425905.6,,,,,,,,,,,,,,,,,,,,,,
"Frankenmuth, MI",+43.3327532,-083.7375707,7670398.502,,,,,,,,,,,,,,,,,,,,,,
"Columbia City, IN",+41.1582911,-085.4775192,15640909.01,,,,,,,,,,,,,,,,,,,,,,
"Fort Madison, IA--IL",+40.6289678,-091.3441055,15440349.06,,,,,,,,,,,,,,,,,,,,,,
"Galliano--Larose--Cut Off, LA",+29.4894739,-090.3307236,49376632.67,,,,,,,,,,,,,,,,,,,,,,
"Lapeer, MI",+43.0493201,-083.3233954,23472159.77,,,,,,,,,,,,,,,,,,,,,,
"Monroe, MI",+41.9310528,-083.3845704,93442602.87,,,,,,,,,,,,,,,,,,,,,,
"Owosso, MI",+42.9970216,-084.1637859,35727999.36,,,,,,,,,,,,,,,,,,,,,,
"Concordia, KS",+39.5651563,-097.6554549,8093558.989,,,,,,,,,,,,,,,,,,,,,,
"Springfield, VT",+43.3099219,-072.5005209,11556491.22,,,,,,,,,,,,,,,,,,,,,,
"Carbondale, IL",+37.7432579,-089.2563344,57396454.42,,,,,,,,,,,,,,,,,,,,,,
"Chesapeake Beach, MD",+38.7080371,-076.5615839,34324023.58,,,,,,,,,,,,,,,,,,,,,,
"Huntingdon, PA",+40.5003832,-078.0142486,10885025.2,,,,,,,,,,,,,,,,,,,,,,
"Sylvester, GA",+31.5292766,-083.8265429,15234460.07,,,,,,,,,,,,,,,,,,,,,,
"Blairsville, PA",+40.4439533,-079.2640544,13526890.57,,,,,,,,,,,,,,,,,,,,,,
