NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Siler City, NC",35.7256038,-79.4581718,13414006.11,FALSE
"Spout Springs, NC",35.2736166,-79.0456222,34074679.03,FALSE
"Sanford, NC",35.4629852,-79.1661269,91102042.41,FALSE
"Laurinburg, NC",34.7621385,-79.477378,34430237.28,FALSE
"Wynne, AR",35.2314621,-90.7860393,14132930.24,FALSE
"Kosciusko, MS",33.0586335,-89.5845625,14490519.22,FALSE
"Excelsior Springs, MO",39.346037,-94.2381173,14764222.28,FALSE
"Kearney, MO",39.3623021,-94.364834,14541160.61,FALSE
"Trenton, MO",40.0830469,-93.6000303,11852417.66,FALSE
"Lake Mohawk, NJ",41.0168287,-74.653915,24572626.6,FALSE
"Oak Ridge, NJ",41.0177417,-74.5124431,15122525.68,FALSE
"Oxford, PA",39.7734345,-75.9992925,17077857.31,FALSE
"Kiryas Joel, NY",41.334925,-74.1704965,76610284.63,FALSE
"Hampstead--Manchester, MD",39.6273443,-76.8600883,20446153,FALSE
"Ipswich, MA",42.6828813,-70.8370928,16199186.19,FALSE
"Lehighton--Palmerton--Jim Thorpe, PA",40.8294434,-75.6899,26056514.07,FALSE
"West Milford, NJ--NY",41.1793106,-74.3358638,45592220.46,FALSE
"Raymond, NH",43.0337936,-71.1678189,16232971.91,FALSE
"Spencer, MA",42.2544606,-71.9964124,14808523.34,FALSE
"Suffolk, VA",36.7494068,-76.5769122,63435315.13,FALSE
"Pea Ridge, AR",36.4528464,-94.1259421,10050533.25,FALSE
"Greendale--Lawrenceburg--Hidden Valley, IN--OH",39.1240228,-84.8611015,49805384.43,FALSE
"New Carlisle, OH",39.9423223,-84.0298742,3953253.56,FALSE
"Crestline, OH",40.7849322,-82.7405784,8252764.023,FALSE
"Dexter, MI",42.3354798,-83.88877,6463689.824,FALSE
"Live Oak, FL",30.2925246,-82.9884449,13729446.22,FALSE
"St. Augustine, FL",29.883433,-81.3282625,158649827.8,FALSE
"Nashville, GA",31.2060314,-83.2446024,10282415.23,FALSE
"Douglas, GA",31.5077961,-82.8579738,43515805.83,FALSE
"Waycross, GA",31.2226645,-82.3677371,65069524.64,FALSE
"Macclenny, FL",30.2804975,-82.1355299,21906753.81,FALSE
"Adel, GA",31.1446491,-83.4275773,15999383.15,FALSE
"Tullahoma, TN",35.3697423,-86.2140939,38296293.95,FALSE
"East Tawas, MI",44.2739207,-83.508635,12962376.07,FALSE
"Cheboygan, MI",45.6502895,-84.4860321,15806741.12,FALSE
"Tonganoxie, KS",39.112559,-95.0813679,7024002.011,FALSE
"Alpena, MI",45.04959,-83.453573,34907912.67,FALSE
"South Lyon--Hamburg--Genoa, MI",42.519859,-83.8037363,335425905.6,FALSE
"Frankenmuth, MI",43.3327532,-83.7375707,7670398.502,FALSE
"Columbia City, IN",41.1582911,-85.4775192,15640909.01,FALSE
"Fort Madison, IA--IL",40.6289678,-91.3441055,15440349.06,FALSE
"Galliano--Larose--Cut Off, LA",29.4894739,-90.3307236,49376632.67,FALSE
"Lapeer, MI",43.0493201,-83.3233954,23472159.77,FALSE
